launch_year,total_launches,successful_launches,reused_boosters,success_rate,reuse_rate,ci_lower,ci_upper
2006,1,0,0,0.0,0.0,0.0,79.3451
2007,1,0,0,0.0,0.0,0.0,79.3451
2008,2,1,0,50.0,0.0,9.4531,90.5469
2009,1,1,0,100.0,0.0,20.6549,100.0
2010,2,2,0,100.0,0.0,34.238,100.0
2012,2,2,0,100.0,0.0,34.238,100.0
2013,3,3,0,100.0,0.0,43.8503,100.0
2014,6,6,0,100.0,0.0,60.9666,100.0
2015,7,6,0,85.7143,0.0,48.6872,97.432
2016,9,8,3,88.8889,33.3333,56.5,98.0109
2017,18,18,14,100.0,77.7778,82.4121,100.0
2018,23,23,19,100.0,82.6087,85.6883,100.0
2019,17,17,15,100.0,88.2353,81.5682,100.0
2020,26,26,26,100.0,100.0,87.1271,100.0
2021,31,31,31,100.0,100.0,88.9745,100.0
2022,43,43,41,100.0,95.3488,91.799,100.0
